,daymonth,year,weather,min_temp,max_temp,avg_temp,wind,humidity,cloud,pressure,rain
72,2020-01-14,2012.0,Sunny,5.0,16.0,10.5,9.0,35.0,33.0,1018.0,1
73,2020-01-14,2013.0,Cloudy,6.0,18.0,12.0,10.0,27.0,46.0,1016.0,0
74,2020-01-15,2009.0,Sunny,9.0,21.0,15.0,6.0,40.0,47.0,1023.0,0
75,2020-01-15,2010.0,Sunny,5.0,21.0,13.0,7.0,30.0,7.0,1024.0,0
76,2020-01-15,2011.0,Sunny,3.0,13.0,8.0,8.0,68.0,5.0,1017.0,1
78,2020-01-15,2013.0,Sunny,7.0,19.0,13.0,11.0,21.0,12.0,1017.0,0
80,2020-01-16,2010.0,Sunny,6.0,22.0,14.0,8.0,26.0,15.0,1024.0,0
81,2020-01-16,2011.0,Sunny,2.0,15.0,8.5,8.0,46.0,10.0,1018.0,0
82,2020-01-16,2012.0,Sunny,6.0,14.0,10.0,7.0,72.0,34.0,1011.0,1
85,2020-01-17,2010.0,Sunny,8.0,22.0,15.0,8.0,24.0,21.0,1022.0,0
86,2020-01-17,2011.0,partly cloud,3.0,15.0,9.0,5.0,43.0,34.0,1014.0,0
87,2020-01-17,2012.0,Sunny,5.0,15.0,10.0,7.0,56.0,14.0,1013.0,0
88,2020-01-17,2013.0,partly cloud,7.0,15.0,11.0,13.0,49.0,47.0,1018.0,1
90,2020-01-18,2010.0,Sunny,7.0,21.0,14.0,7.0,31.0,11.0,1022.0,0
91,2020-01-18,2011.0,Sunny,4.0,16.0,10.0,10.0,47.0,5.0,1016.0,0
92,2020-01-18,2012.0,Sunny,5.0,14.0,9.5,8.0,37.0,6.0,1013.0,0
93,2020-01-18,2013.0,Overcast,5.0,12.0,8.5,7.0,56.0,52.0,1015.0,1
94,2020-01-19,2009.0,Sunny,6.0,16.0,11.0,7.0,74.0,4.0,1021.0,1
95,2020-01-19,2010.0,Sunny,7.0,20.0,13.5,8.0,27.0,4.0,1021.0,0
96,2020-01-19,2011.0,partly cloud,4.0,17.0,10.5,9.0,39.0,19.0,1016.0,0
97,2020-01-19,2012.0,Sunny,4.0,13.0,8.5,7.0,37.0,14.0,1016.0,0
98,2020-01-19,2013.0,Sunny,5.0,14.0,9.5,8.0,50.0,4.0,1023.0,0
99,2020-01-20,2009.0,Sunny,6.0,19.0,12.5,7.0,51.0,11.0,1020.0,0
100,2020-01-20,2010.0,Sunny,7.0,21.0,14.0,7.0,30.0,11.0,1022.0,0
