[[,Unnamed: 0,daymonth_category,daymonth,weather,max_temp,min_temp,wind,rain,humidity,cloud,pressure,year,weathervalue,avg_temp
54,11/17/2020 12:31:35,01/11/2020,01/11/2020,Sunny,18,6,6,0,35,21,1022,2009,1,12
55,11/17/2020 12:31:50,01/11/2020,01/11/2020,Sunny,20,4,7,0,21,0,1019,2010,1,12
56,11/17/2020 12:32:04,01/11/2020,01/11/2020,Sunny,19,6,8,,29,9,1016,2011,1,12.5
57,11/17/2020 12:32:18,01/11/2020,01/11/2020,Sunny,14,4,8,0,32,1,1021,2012,1,
58,11/17/2020 12:32:36,01/11/2020,01/11/2020,Sunny,19,7,9,0,26,19,1017,2013,1,13
59,11/17/2020 12:34:33,01/12/2020,01/12/2020,Sunny,18,7,8,0,31,23,1024,2009,1,12.5
60,11/17/2020 12:34:48,01/12/2020,01/12/2020,partly cloud,20,,7,0,18,31,1017,2010,2,11.5
61,11/17/2020 12:35:02,01/12/2020,01/12/2020,Sunny,19,6,8,0,33,,1015,2011,1,12.5
62,11/17/2020 12:35:17,01/12/2020,01/12/2020,Sunny,16,5,9,0,32,4,1021,2012,1,10.5
63,11/17/2020 12:35:34,01/12/2020,01/12/2020,partly cloud,18,9,10,0.3,46,33,1017,2013,2,13.5
64,11/17/2020 12:36:22,01/13/2020,01/13/2020,partly cloud,17,6,7,0,33,29,1026,2009,2,11.5
65,11/17/2020 12:36:37,01/13/2020,01/13/2020,Sunny,,6,7,0,28,14,1019,2010,1,12
66,11/17/2020 12:36:51,01/13/2020,01/13/2020,Sunny,19,6,9,0,24,17,1016,2011,1,12.5
67,11/17/2020 12:37:05,01/13/2020,01/13/2020,Sunny,16,5,8,0,30,21,1020,2012,1,10.5
68,11/17/2020 12:37:23,01/13/2020,01/13/2020,Sunny,18,7,12,0,44,3,1016,2013,1,12.5
69,11/17/2020 12:38:10,01/14/2020,01/14/2020,partly cloud,19,5,6,0,38,28,1025,2009,2,12
70,11/17/2020 12:38:25,01/14/2020,01/14/2020,Sunny,19,4,8,0,26,4,1024,2010,1,11.5
71,11/17/2020 12:38:40,01/14/2020,01/14/2020,Sunny,17,5,10,5.4,52,26,1014,2011,1,11
72,11/17/2020 12:38:54,01/14/2020,01/14/2020,Sunny,16,5,9,1.3,35,33,1018,2012,1,10.5
73,11/17/2020 12:39:11,01/14/2020,01/14/2020,Cloudy,18,6,10,0,27,46,1016,2013,4,12
74,11/17/2020 12:39:59,01/15/2020,01/15/2020,Sunny,21,9,6,0,40,47,1023,2009,1,15
75,11/17/2020 12:40:14,01/15/2020,01/15/2020,Sunny,21,5,7,0,30,7,1024,2010,1,13
76,11/17/2020 12:40:28,01/15/2020,01/15/2020,Sunny,13,3,8,2.1,68,5,1017,2011,1,8
77,11/17/2020 12:41:47,01/15/2020,01/15/2020,Moderate,9,7,7,9,83,72,1014,2012,3,8
78,11/17/2020 12:42:25,01/15/2020,01/15/2020,Sunny,19,7,11,0,21,12,1017,2013,1,13
79,11/17/2020 12:43:14,01/16/2020,01/16/2020,Cloudy,14,10,6,9.9,77,77,1023,2009,4,12
80,11/17/2020 12:43:29,01/16/2020,01/16/2020,Sunny,22,6,8,0,26,15,1024,2010,1,14
81,11/17/2020 12:43:43,01/16/2020,01/16/2020,Sunny,15,2,8,0,46,10,1018,2011,1,8.5
82,11/17/2020 12:43:58,01/16/2020,01/16/2020,Sunny,14,6,7,1.6,72,34,1011,2012,1,10
83,11/17/2020 12:44:15,01/16/2020,01/16/2020,Sunny,18,7,14,0.2,27,18,1019,2013,1,12.5
84,11/17/2020 12:45:02,01/17/2020,01/17/2020,Sunny,18,10,6,1.4,79,29,1021,2009,1,14
85,11/17/2020 12:45:18,01/17/2020,01/17/2020,Sunny,22,8,8,0,24,21,1022,2010,1,15
86,11/17/2020 12:45:32,01/17/2020,01/17/2020,partly cloud,15,3,5,0,43,34,1014,2011,2,9
87,11/17/2020 12:45:46,01/17/2020,01/17/2020,Sunny,15,5,7,0,56,14,1013,2012,1,10
88,11/17/2020 12:46:04,01/17/2020,01/17/2020,partly cloud,15,7,13,2.7,49,47,1018,2013,2,11
89,11/17/2020 12:46:51,01/18/2020,01/18/2020,Mist,10,7,6,10.6,88,60,1018,2009,11,8.5
90,11/17/2020 12:47:06,01/18/2020,01/18/2020,Sunny,21,7,7,0,31,11,1022,2010,1,14
91,11/17/2020 12:47:20,01/18/2020,01/18/2020,Sunny,16,4,10,0,47,5,1016,2011,1,10
92,11/17/2020 12:47:34,01/18/2020,01/18/2020,Sunny,14,5,8,0,37,6,1013,2012,1,9.5
93,11/17/2020 12:47:52,01/18/2020,01/18/2020,Overcast,12,5,7,0.4,56,52,1015,2013,6,8.5
94,11/17/2020 12:50:12,01/19/2020,01/19/2020,Sunny,16,6,7,0.1,74,4,1021,2009,1,11
95,11/17/2020 12:50:27,01/19/2020,01/19/2020,Sunny,20,7,8,0,27,4,1021,2010,1,13.5
96,11/17/2020 12:50:41,01/19/2020,01/19/2020,partly cloud,17,4,9,0,39,19,1016,2011,2,10.5
97,11/17/2020 12:50:56,01/19/2020,01/19/2020,Sunny,13,4,7,0,37,14,1016,2012,1,8.5
98,11/17/2020 12:51:13,01/19/2020,01/19/2020,Sunny,14,5,8,0,50,4,1023,2013,1,9.5
99,11/17/2020 12:52:00,01/20/2020,01/20/2020,Sunny,19,6,7,0,51,11,1020,2009,1,12.5
100,11/17/2020 12:52:16,01/20/2020,01/20/2020,Sunny,21,7,7,0,30,11,1022,2010,1,14
101,11/17/2020 12:52:30,01/20/2020,01/20/2020,partly cloud,17,6,7,0,37,46,1017,2011,2,11.5
102,11/17/2020 12:52:44,01/20/2020,01/20/2020,Sunny,13,3,9,0,37,10,1021,2012,1,8
103,11/17/2020 12:53:02,01/20/2020,01/20/2020,Sunny,16,5,10,0,32,1,1022,2013,1,10.5
104,11/17/2020 12:53:49,01/21/2020,01/21/2020,Sunny,20,7,6,0,48,16,1018,2009,1,13.5
105,11/17/2020 12:54:04,01/21/2020,01/21/2020,Sunny,22,7,7,0,32,7,1021,2010,1,14.5
