[[,Unnamed: 0,daymonth_category,daymonth,weather,max_temp,min_temp,wind,rain,humidity,cloud,pressure,year,weathervalue,avg_temp
225,11/26/2020 3:15:40,02/09/2020,02/09/2020,Sunny,15,4,9,0,34,4,1019,2012,1,9.5
226,11/26/2020 3:15:49,02/09/2020,02/09/2020,Sunny,15,4,9,0,34,4,1019,2012,1,9.5
227,11/26/2020 3:16:14,02/09/2020,02/09/2020,Sunny,20,8,8,0,37,1,1017,2013,1,14
228,11/26/2020 4:23:11,02/09/2020,02/09/2020,partly cloud,17,10,7,0,47,40,1018,2009,2,13.5
229,11/26/2020 4:24:38,02/09/2020,02/09/2020,Cloudy,19,5,9,0,47,31,,2011,4,12
230,11/26/2020 4:25:35,02/09/2020,02/09/2020,Sunny,15,4,9,0,34,4,1019,2012,1,9.5
231,11/26/2020 4:26:26,02/09/2020,02/09/2020,Sunny,20,8,8,0,37,1,1017,2013,1,14
232,11/26/2020 4:28:48,02/10/2020,02/10/2020,partly cloud,12,8,5,4.7,81,45,1015,2009,2,10
233,11/26/2020 4:29:33,02/10/2020,02/10/2020,Sunny,15,3,6,0,66,10,1020,2010,1,9
234,11/26/2020 4:30:15,02/10/2020,02/10/2020,partly cloud,18,5,9,0,50,38,1016,2011,2,11.5
235,11/26/2020 4:30:52,02/10/2020,02/10/2020,Sunny,17,4,9,0,32,1,1018,2012,1,10.5
236,11/26/2020 4:31:12,02/10/2020,02/10/2020,Sunny,17,4,9,0,32,1,1018,2012,1,10.5
237,11/26/2020 4:32:03,02/10/2020,02/10/2020,Sunny,20,8,11,0,29,1,1019,2013,1,14
238,11/26/2020 4:35:42,02/11/2020,02/11/2020,Sunny,18,8,4,0.2,75,30,1016,2009,1,13
239,11/26/2020 4:36:27,02/11/2020,02/11/2020,partly cloud,15,5,6,0,62,40,1021,2010,2,10
240,11/26/2020 4:37:08,02/11/2020,02/11/2020,partly cloud,15,7,9,0.1,50,47,1019,2011,2,11
241,11/26/2020 4:37:46,02/11/2020,02/11/2020,Sunny,18,6,10,0.5,39,34,1018,2012,1,12
242,11/26/2020 4:38:06,02/11/2020,02/11/2020,Sunny,18,6,10,0.5,39,34,1018,2012,1,12
243,11/26/2020 4:38:57,02/11/2020,02/11/2020,Overcast,20,7,11,0,31,61,1019,2013,6,13.5
244,11/26/2020 4:40:32,02/12/2020,02/12/2020,partly cloud,18,11,5,2.5,79,59,1017,2009,2,14.5
245,11/26/2020 4:40:49,02/12/2020,02/12/2020,Sunny,18,7,7,0,61,34,1020,2010,1,12.5
246,11/26/2020 4:41:04,02/12/2020,02/12/2020,Patchy light rain,15,9,10,2.9,75,55,1017,2011,13,12
247,11/26/2020 4:41:18,02/12/2020,02/12/2020,Patchy light drizzle,13,8,6,7.8,70,67,1017,2012,14,10.5
248,11/26/2020 4:41:25,02/12/2020,02/12/2020,Patchy light drizzle,13,8,6,7.8,70,67,1017,2012,14,10.5
249,11/26/2020 4:41:44,02/12/2020,02/12/2020,partly cloudy,21,9,9,0,26,21,1019,2013,7,15
250,11/26/2020 4:42:29,02/13/2020,02/13/2020,Patchy light drizzle,16,10,6,6.6,79,58,1012,2009,14,13
251,11/26/2020 4:42:46,02/13/2020,02/13/2020,Sunny,18,7,5,0,59,32,1019,2010,1,12.5
252,11/26/2020 4:43:01,02/13/2020,02/13/2020,Moderate or heavy rain shower,11,9,7,13,91,84,1012,2011,12,10
253,11/26/2020 4:43:16,02/13/2020,02/13/2020,Light rain shower,13,7,8,7.1,79,40,1016,2012,16,10
254,11/26/2020 4:43:23,02/13/2020,02/13/2020,Light rain shower,13,7,8,7.1,79,40,1016,2012,16,10
255,11/26/2020 4:43:41,02/13/2020,02/13/2020,Sunny,19,9,11,0,31,18,1018,2013,1,14
256,11/26/2020 4:44:27,02/14/2020,02/14/2020,Sunny,18,8,7,2,77,27,1017,2009,1,13
257,11/26/2020 4:44:44,02/14/2020,02/14/2020,Sunny,18,6,5,0.5,59,37,1016,2010,1,12
258,11/26/2020 4:44:59,02/14/2020,02/14/2020,Moderate or heavy rain shower,16,8,8,13.7,83,42,1012,2011,12,12
259,11/26/2020 4:45:13,02/14/2020,02/14/2020,Sunny,14,5,12,0,51,9,1020,2012,1,9.5
260,11/26/2020 4:45:20,02/14/2020,02/14/2020,Sunny,14,5,12,0,51,9,1020,2012,1,9.5
261,11/26/2020 4:45:39,02/14/2020,02/14/2020,partly cloudy,20,11,11,0.4,48,51,1017,2013,7,15.5
262,11/26/2020 4:47:05,02/15/2020,02/15/2020,Sunny,19,7,10,0,56,2,1017,2009,1,13
263,11/26/2020 4:47:23,02/15/2020,02/15/2020,Light rain shower,12,7,10,4.1,78,39,1015,2010,16,9.5
264,11/26/2020 4:49:38,02/15/2020,02/15/2020,Sunny,19,7,10,0,56,2,1017,2009,1,13
265,11/26/2020 4:50:00,02/15/2020,02/15/2020,Light rain shower,12,7,10,4.2,78,39,1015,2010,16,9.5
266,11/26/2020 4:50:20,02/15/2020,02/15/2020,Sunny,18,5,7,0.3,64,2,1014,2011,1,11.5
267,11/26/2020 4:50:39,02/15/2020,02/15/2020,Sunny,15,4,8,0,41,20,1018,2012,1,9.5
268,11/26/2020 4:50:48,02/15/2020,02/15/2020,Sunny,15,4,8,0,41,20,1018,2012,1,9.5
269,11/26/2020 4:51:13,02/15/2020,02/15/2020,partly cloud,16,10,12,1.9,63,66,1014,2013,2,13
270,11/26/2020 4:53:08,02/16/2020,02/16/2020,Sunny,20,6,7,0,52,22,1017,2009,1,13
271,11/26/2020 4:53:30,02/16/2020,02/16/2020,Sunny,17,5,9,0.1,66,12,1020,2010,1,11
272,11/26/2020 4:53:50,02/16/2020,02/16/2020,Sunny,17,5,9,0.1,49,17,1015,2011,1,11
273,11/26/2020 4:54:09,02/16/2020,02/16/2020,Sunny,16,5,9,0,34,25,1019,2012,1,10.5
274,11/26/2020 4:54:18,02/16/2020,02/16/2020,Sunny,16,5,9,0,34,25,1019,2012,1,10.5
275,11/26/2020 4:54:43,02/16/2020,02/16/2020,Sunny,13,8,8,0.8,68,45,1010,2013,1,10.5
276,11/26/2020 4:55:43,02/17/2020,02/17/2020,Sunny,21,9,7,0,43,22,1017,2009,1,15
277,11/26/2020 4:56:05,02/17/2020,02/17/2020,Sunny,19,5,9,0,57,4,1021,2010,1,12
278,11/26/2020 4:56:25,02/17/2020,02/17/2020,Sunny,18,5,9,0.4,54,19,1018,2011,1,11.5
279,11/26/2020 4:56:44,02/17/2020,02/17/2020,partly cloud,17,5,12,0,32,49,1021,2012,2,11
280,11/26/2020 4:56:53,02/17/2020,02/17/2020,partly cloud,17,5,12,0,32,49,1021,2012,2,11
281,11/26/2020 4:57:18,02/17/2020,02/17/2020,Sunny,18,6,6,0.1,67,11,1012,2013,1,12
282,11/26/2020 4:58:18,02/18/2020,02/18/2020,Sunny,22,8,10,0,44,3,1017,2009,1,15
283,11/26/2020 4:58:40,02/18/2020,02/18/2020,Sunny,20,6,8,0,49,7,1018,2010,1,13
284,11/26/2020 4:59:00,02/18/2020,02/18/2020,Sunny,17,5,8,0,48,22,1016,2011,1,11
285,11/26/2020 4:59:19,02/18/2020,02/18/2020,partly cloud,15,8,12,0.1,40,41,1021,2012,2,11.5
286,11/26/2020 4:59:28,02/18/2020,02/18/2020,partly cloud,15,8,12,0.1,40,41,1021,2012,2,11.5
287,11/26/2020 4:59:53,02/18/2020,02/18/2020,Sunny,19,8,8,0,53,9,1016,2013,1,13.5
288,11/26/2020 5:00:54,02/18/2020,02/18/2020,Sunny,22,8,10,0,44,3,1017,2009,1,15
289,11/26/2020 5:01:11,02/18/2020,02/18/2020,Sunny,20,6,8,0,49,7,1018,2010,1,13
290,11/26/2020 5:01:26,02/18/2020,02/18/2020,Sunny,17,5,8,0,48,22,1016,2011,1,11
291,11/26/2020 5:01:40,02/18/2020,02/18/2020,partly cloudy,15,8,12,0.1,40,41,1021,2012,7,11.5
292,11/26/2020 5:01:47,02/18/2020,02/18/2020,partly cloudy,15,8,12,0.1,40,41,1021,2012,7,11.5
293,11/26/2020 5:02:06,02/18/2020,02/18/2020,Sunny,19,8,8,0,53,9,1016,2013,1,13.5
294,11/26/2020 5:02:51,02/19/2020,02/19/2020,Sunny,22,9,12,0.5,46,19,1015,2009,1,15.5
295,11/26/2020 5:03:08,02/19/2020,02/19/2020,Sunny,22,7,8,0,45,14,1018,2010,1,14.5
296,11/26/2020 5:03:23,02/19/2020,02/19/2020,partly cloudy,17,7,6,0.1,50,46,1019,2011,7,12
297,11/26/2020 5:04:03,02/19/2020,02/19/2020,Sunny,19,9,10,0.1,36,24,1016,2013,1,14
298,11/26/2020 5:04:49,02/20/2020,02/20/2020,Sunny,21,10,4,0.4,63,17,1018,2009,1,15.5
299,11/26/2020 5:05:05,02/20/2020,02/20/2020,Sunny,23,8,8,0,46,14,1018,2010,1,15.5
300,11/26/2020 5:05:21,02/20/2020,02/20/2020,Sunny,13,7,7,2.5,72,42,1020,2011,1,10
301,11/26/2020 5:05:35,02/20/2020,02/20/2020,Patchy light drizzle,16,10,5,3.1,76,61,1015,2012,14,13
302,11/26/2020 5:05:42,02/20/2020,02/20/2020,Patchy light drizzle,16,10,5,3.1,76,61,1015,2012,14,13
303,11/26/2020 5:06:01,02/20/2020,02/20/2020,Sunny,21,9,10,0.1,36,18,1018,2013,1,15
304,11/26/2020 5:06:46,02/21/2020,02/21/2020,Sunny,21,9,9,0.1,48,27,1019,2009,1,15
305,11/26/2020 5:07:03,02/21/2020,02/21/2020,Sunny,25,10,8,0,48,7,1016,2010,1,17.5
306,11/26/2020 5:07:18,02/21/2020,02/21/2020,Sunny,20,4,9,0,54,27,1020,2011,1,12
307,11/26/2020 5:07:32,02/21/2020,02/21/2020,Sunny,16,8,8,1.4,66,20,1012,2012,1,12
308,11/26/2020 5:07:39,02/21/2020,02/21/2020,Sunny,16,8,8,1.4,66,20,1012,2012,1,12
309,11/26/2020 5:07:58,02/21/2020,02/21/2020,partly cloudy,19,9,11,2.4,46,51,1017,2013,7,14
310,11/26/2020 5:08:43,02/22/2020,02/22/2020,Sunny,19,10,6,2.2,67,38,1013,2009,1,14.5
311,11/26/2020 5:09:00,02/22/2020,02/22/2020,Sunny,24,12,9,0,45,29,1015,2010,1,18
312,11/26/2020 5:09:15,02/22/2020,02/22/2020,partly cloudy,20,8,8,0,42,44,1018,2011,7,14
313,11/26/2020 5:09:29,02/22/2020,02/22/2020,partly cloudy,16,9,13,1,57,35,1013,2012,7,12.5
314,11/26/2020 5:09:36,02/22/2020,02/22/2020,partly cloudy,16,9,13,1,57,35,1013,2012,7,12.5
315,11/26/2020 5:09:55,02/22/2020,02/22/2020,Light rain shower,15,10,9,4.7,72,57,1020,2013,16,12.5
316,11/26/2020 5:10:40,02/23/2020,02/23/2020,Light rain shower,18,11,3,3.1,81,45,1012,2009,16,14.5
317,11/26/2020 5:10:57,02/23/2020,02/23/2020,Sunny,24,11,6,0.1,48,21,1013,2010,1,17.5
318,11/26/2020 5:11:12,02/23/2020,02/23/2020,partly cloudy,13,7,11,0.5,59,55,1019,2011,7,10
319,11/26/2020 5:11:27,02/23/2020,02/23/2020,Sunny,16,6,10,0.2,46,10,1015,2012,1,11
320,11/26/2020 5:11:33,02/23/2020,02/23/2020,Sunny,16,6,10,0.2,46,10,1015,2012,1,11
321,11/26/2020 5:11:52,02/23/2020,02/23/2020,Sunny,19,9,9,0.1,58,31,1019,2013,1,14
322,11/26/2020 5:12:38,02/24/2020,02/24/2020,Sunny,22,10,8,1.5,69,17,1011,2009,1,16
323,11/26/2020 5:12:55,02/24/2020,02/24/2020,Sunny,21,12,7,3.1,66,34,1013,2010,1,16.5
324,11/26/2020 5:13:10,02/24/2020,02/24/2020,Sunny,17,6,8,2.4,65,26,1018,2011,1,11.5
325,11/26/2020 5:13:24,02/24/2020,02/24/2020,Sunny,16,4,9,0,36,13,1017,2012,1,10
326,11/26/2020 5:13:31,02/24/2020,02/24/2020,Sunny,16,4,9,0,36,13,1017,2012,1,10
327,11/26/2020 5:13:50,02/24/2020,02/24/2020,Sunny,21,10,8,0,47,10,1020,2013,1,15.5
328,11/26/2020 5:14:35,02/25/2020,02/25/2020,partly cloudy,20,9,8,0,46,28,1012,2009,7,14.5
329,11/26/2020 5:14:52,02/25/2020,02/25/2020,partly cloudy,19,11,8,3.1,69,47,1015,2010,7,15
330,11/26/2020 5:15:07,02/25/2020,02/25/2020,Thundery outbreaks possible,15,6,8,9.1,79,36,1015,2011,9,10.5
331,11/26/2020 5:15:21,02/25/2020,02/25/2020,Sunny,18,7,9,0,34,30,1017,2012,1,12.5
332,11/26/2020 5:15:28,02/25/2020,02/25/2020,Sunny,18,7,9,0,34,30,1017,2012,1,12.5
333,11/26/2020 5:15:47,02/25/2020,02/25/2020,partly cloudy,21,11,8,0,38,34,1019,2013,7,16
334,11/26/2020 5:17:44,03/01/2020,03/01/2020,Sunny,22,12,8,0,30,17,1013,2009,1,17
335,11/26/2020 5:18:01,03/01/2020,03/01/2020,Sunny,21,12,12,6.8,76,27,1014,2010,1,16.5
336,11/26/2020 5:18:16,03/01/2020,03/01/2020,Patchy rain possible,17,8,6,1.6,78,34,1020,2011,10,12.5
337,11/26/2020 5:18:30,03/01/2020,03/01/2020,Sunny,21,9,11,0.4,39,8,1011,2012,1,15
338,11/26/2020 5:18:37,03/01/2020,03/01/2020,Sunny,21,9,11,0.4,39,8,1011,2012,1,15
339,11/26/2020 5:18:56,03/01/2020,03/01/2020,Sunny,21,7,14,0,40,2,1020,2013,1,14
340,11/26/2020 5:19:41,03/02/2020,03/02/2020,Sunny,27,12,9,0,37,18,1014,2009,1,19.5
341,11/26/2020 5:19:58,03/02/2020,03/02/2020,Sunny,24,10,9,0,50,3,1015,2010,1,17
342,11/26/2020 5:20:14,03/02/2020,03/02/2020,partly cloudy,14,8,7,3.9,72,71,1018,2011,7,11
343,11/26/2020 5:20:28,03/02/2020,03/02/2020,Sunny,21,9,11,0,31,19,1010,2012,1,15
344,11/26/2020 5:20:35,03/02/2020,03/02/2020,Sunny,21,9,11,0,31,19,1010,2012,1,15
345,11/26/2020 5:20:53,03/02/2020,03/02/2020,Sunny,25,10,12,0,35,16,1018,2013,1,17.5
346,11/26/2020 5:21:39,03/03/2020,03/03/2020,Thundery outbreaks possible,27,15,11,0.3,49,22,1010,2009,9,21
347,11/26/2020 5:21:56,03/03/2020,03/03/2020,partly cloudy,14,11,10,4.1,68,56,1012,2010,7,12.5
348,11/26/2020 5:22:11,03/03/2020,03/03/2020,Patchy rain possible,22,9,9,2.3,48,62,1015,2011,10,15.5
349,11/26/2020 5:22:25,03/03/2020,03/03/2020,Sunny,23,12,9,0.1,34,24,1009,2012,1,17.5
350,11/26/2020 5:22:32,03/03/2020,03/03/2020,Sunny,23,12,9,0.1,34,24,1009,2012,1,17.5
351,11/26/2020 5:22:51,03/03/2020,03/03/2020,Sunny,26,12,9,0,34,27,1017,2013,1,19
352,11/26/2020 5:23:36,03/04/2020,03/04/2020,Sunny,27,13,8,0,48,10,1011,2009,1,20
353,11/26/2020 5:23:53,03/04/2020,03/04/2020,partly cloudy,20,11,5,2.2,79,50,1012,2010,7,15.5
354,11/26/2020 5:24:08,03/04/2020,03/04/2020,Patchy rain possible,23,12,8,1,47,55,1014,2011,10,17.5
355,11/26/2020 5:24:22,03/04/2020,03/04/2020,Patchy rain possible,21,13,13,5.9,58,38,1010,2012,10,17
356,11/26/2020 5:24:29,03/04/2020,03/04/2020,Patchy rain possible,21,13,13,5.9,58,38,1010,2012,10,17
357,11/26/2020 5:24:48,03/04/2020,03/04/2020,Sunny,26,14,8,0,31,25,1016,2013,1,20
358,11/26/2020 5:25:34,03/05/2020,03/05/2020,Sunny,26,12,9,0,37,2,1012,2009,1,19
359,11/26/2020 5:25:50,03/05/2020,03/05/2020,Sunny,22,10,8,0.5,63,12,1014,2010,1,16
360,11/26/2020 5:26:06,03/05/2020,03/05/2020,Sunny,22,12,9,1.1,45,57,1015,2011,1,17
361,11/26/2020 5:26:20,03/05/2020,03/05/2020,Sunny,22,11,9,2.5,60,7,1009,2012,1,16.5
362,11/26/2020 5:26:27,03/05/2020,03/05/2020,Sunny,22,11,9,2.5,60,7,1009,2012,1,16.5
363,11/26/2020 5:26:45,03/05/2020,03/05/2020,Sunny,26,13,10,0,29,0,1018,2013,1,19.5
364,11/26/2020 5:27:31,03/06/2020,03/06/2020,Overcast,26,11,8,0,34,36,1012,2009,6,18.5
365,11/26/2020 5:27:48,03/06/2020,03/06/2020,partly cloudy,14,10,10,1.1,65,32,1015,2010,7,12
366,11/26/2020 5:28:03,03/06/2020,03/06/2020,Patchy rain possible,22,11,9,0.2,41,42,1015,2011,10,16.5
367,11/26/2020 5:28:17,03/06/2020,03/06/2020,Sunny,22,10,11,0,35,4,1009,2012,1,16
368,11/26/2020 5:28:24,03/06/2020,03/06/2020,Sunny,22,10,11,0,35,4,1009,2012,1,16
369,11/26/2020 5:28:43,03/06/2020,03/06/2020,Sunny,27,14,11,0,33,0,1018,2013,1,20.5
370,11/26/2020 5:29:28,03/07/2020,03/07/2020,Sunny,25,12,8,0.3,39,12,1013,2009,1,18.5
371,11/26/2020 5:29:45,03/07/2020,03/07/2020,Sunny,23,9,7,0.9,63,20,1017,2010,1,16
372,11/26/2020 5:30:00,03/07/2020,03/07/2020,partly cloudy,21,8,8,0.6,50,29,1020,2011,7,14.5
373,11/26/2020 5:30:14,03/07/2020,03/07/2020,Sunny,19,9,14,0.9,41,9,1006,2012,1,14
374,11/26/2020 5:30:21,03/07/2020,03/07/2020,Sunny,19,9,14,0.9,41,9,1006,2012,1,14
375,11/26/2020 5:30:40,03/07/2020,03/07/2020,Sunny,28,14,8,0,34,0,1016,2013,1,21
376,11/26/2020 5:31:26,03/08/2020,03/08/2020,Sunny,23,11,8,0,35,32,1012,2009,1,17
377,11/26/2020 5:31:42,03/08/2020,03/08/2020,Sunny,26,10,8,0,50,3,1016,2010,1,18
378,11/26/2020 5:31:58,03/08/2020,03/08/2020,Sunny,22,7,10,0.6,55,5,1015,2011,1,14.5
379,11/26/2020 5:32:12,03/08/2020,03/08/2020,Sunny,19,7,11,0.3,40,16,1009,2012,1,13
380,11/26/2020 5:32:19,03/08/2020,03/08/2020,Sunny,19,7,11,0.3,40,16,1009,2012,1,13
381,11/26/2020 5:32:38,03/08/2020,03/08/2020,Sunny,28,15,12,0,27,6,1016,2013,1,21.5
382,11/26/2020 5:33:23,03/09/2020,03/09/2020,Sunny,24,11,9,0,34,9,1016,2009,1,17.5
383,11/26/2020 5:33:40,03/09/2020,03/09/2020,partly cloudy,26,11,9,0,43,23,1018,2010,7,18.5
384,11/26/2020 5:33:55,03/09/2020,03/09/2020,Sunny,23,8,8,0,50,8,1013,2011,1,15.5
385,11/26/2020 5:34:09,03/09/2020,03/09/2020,partly cloudy,19,7,9,0,32,22,1012,2012,7,13
386,11/26/2020 5:34:16,03/09/2020,03/09/2020,partly cloudy,19,7,9,0,32,22,1012,2012,7,13
387,11/26/2020 5:34:35,03/09/2020,03/09/2020,Sunny,27,14,16,4.3,37,13,1013,2013,1,20.5
388,11/26/2020 5:35:20,03/10/2020,03/10/2020,Sunny,26,10,10,0,28,1,1018,2009,1,18
389,11/26/2020 5:35:37,03/10/2020,03/10/2020,Sunny,27,12,9,0,39,1,1018,2010,1,19.5
390,11/26/2020 5:35:52,03/10/2020,03/10/2020,Sunny,24,10,9,0,47,6,1017,2011,1,17
391,11/26/2020 5:36:11,03/10/2020,03/10/2020,Sunny,20,8,10,0.3,32,7,1016,2012,1,14
392,11/26/2020 5:37:34,03/11/2020,03/11/2020,Sunny,28,12,8,0,39,12,1018,2010,1,20
393,11/26/2020 5:37:50,03/11/2020,03/11/2020,Sunny,25,9,7,0,45,2,1015,2011,1,17
394,11/26/2020 5:38:04,03/11/2020,03/11/2020,Cloudy,19,8,12,0.2,32,57,1018,2012,4,13.5
395,11/26/2020 5:38:11,03/11/2020,03/11/2020,Cloudy,19,8,12,0.2,32,57,1018,2012,4,13.5
396,11/26/2020 5:38:29,03/11/2020,03/11/2020,Sunny,27,13,10,0,29,7,1014,2013,1,20
397,11/26/2020 5:39:15,03/12/2020,03/12/2020,Sunny,29,11,8,0,24,2,1014,2009,1,20
398,11/26/2020 5:39:32,03/12/2020,03/12/2020,Sunny,28,15,10,0,38,11,1018,2010,1,21.5
399,11/26/2020 5:39:47,03/12/2020,03/12/2020,Sunny,26,11,8,0,41,14,1013,2011,1,18.5
400,11/26/2020 5:40:01,03/12/2020,03/12/2020,partly cloudy,18,9,16,0.6,42,56,1018,2012,7,13.5
401,11/26/2020 5:40:08,03/12/2020,03/12/2020,partly cloudy,18,9,16,0.6,42,56,1018,2012,7,13.5
402,11/26/2020 5:40:27,03/12/2020,03/12/2020,Sunny,27,16,11,0,27,27,1014,2013,1,21.5
403,11/26/2020 5:41:12,03/13/2020,03/13/2020,Sunny,30,13,9,0,21,14,1015,2009,1,21.5
404,11/26/2020 5:41:29,03/13/2020,03/13/2020,Sunny,29,14,10,0.1,41,9,1014,2010,1,21.5
405,11/26/2020 5:41:44,03/13/2020,03/13/2020,Sunny,28,12,9,0,41,7,1013,2011,1,20
406,11/26/2020 5:41:59,03/13/2020,03/13/2020,Sunny,19,7,10,0.2,50,26,1019,2012,1,13
407,11/26/2020 5:42:06,03/13/2020,03/13/2020,Sunny,19,7,10,0.2,50,26,1019,2012,1,13
408,11/26/2020 5:42:24,03/13/2020,03/13/2020,partly cloudy,22,14,12,0.6,53,61,1015,2013,7,18
409,11/26/2020 5:43:10,03/14/2020,03/14/2020,Sunny,30,13,8,0,21,15,1016,2009,1,21.5
410,11/26/2020 5:43:27,03/14/2020,03/14/2020,Sunny,30,14,10,0,36,6,1011,2010,1,22
411,11/26/2020 5:43:56,03/14/2020,03/14/2020,Sunny,21,9,9,0,42,7,1018,2012,1,15
412,11/26/2020 5:44:03,03/14/2020,03/14/2020,Sunny,21,9,9,0,42,7,1018,2012,1,15
413,11/26/2020 5:44:22,03/14/2020,03/14/2020,Thundery outbreaks possible,19,13,7,9.9,70,40,1016,2013,9,16
414,11/26/2020 5:45:07,03/15/2020,03/15/2020,Sunny,30,13,8,0,24,6,1013,2009,1,21.5
415,11/26/2020 5:45:24,03/15/2020,03/15/2020,Sunny,31,14,9,0,31,5,1011,2010,1,22.5
416,11/26/2020 5:45:39,03/15/2020,03/15/2020,partly cloudy,32,14,10,0,33,28,1014,2011,7,23
417,11/26/2020 5:45:53,03/15/2020,03/15/2020,Sunny,24,10,9,0,33,15,1016,2012,1,17
418,11/26/2020 5:46:00,03/15/2020,03/15/2020,Sunny,24,10,9,0,33,15,1016,2012,1,17
419,11/26/2020 5:46:19,03/15/2020,03/15/2020,Sunny,23,11,8,0,45,5,1019,2013,1,17
420,11/26/2020 5:47:05,03/16/2020,03/16/2020,Sunny,29,15,8,0,28,16,1012,2009,1,22
421,11/26/2020 5:47:21,03/16/2020,03/16/2020,Sunny,33,15,9,0,31,1,1014,2010,1,24
422,11/26/2020 5:47:37,03/16/2020,03/16/2020,Sunny,32,15,9,0,27,29,1012,2011,1,23.5
423,11/26/2020 5:47:51,03/16/2020,03/16/2020,Sunny,25,14,8,0.1,35,24,1014,2012,1,19.5
424,11/26/2020 5:47:58,03/16/2020,03/16/2020,Sunny,25,14,8,0.1,35,24,1014,2012,1,19.5
425,11/26/2020 5:48:16,03/16/2020,03/16/2020,Sunny,25,12,10,0,34,7,1018,2013,1,18.5
426,11/26/2020 5:49:02,03/17/2020,03/17/2020,Sunny,29,15,8,0.8,39,15,1013,2009,1,22
427,11/26/2020 5:49:19,03/17/2020,03/17/2020,Sunny,32,16,8,0,29,1,1018,2010,1,24
428,11/26/2020 5:49:34,03/17/2020,03/17/2020,Sunny,31,16,9,0.3,35,28,1009,2011,1,23.5
429,11/26/2020 5:49:48,03/17/2020,03/17/2020,Sunny,26,13,9,0.1,40,17,1013,2012,1,19.5
430,11/26/2020 5:49:55,03/17/2020,03/17/2020,Sunny,26,13,9,0.1,40,17,1013,2012,1,19.5
431,11/26/2020 5:50:14,03/17/2020,03/17/2020,Sunny,23,13,10,0.2,36,13,1019,2013,1,18
432,11/26/2020 5:50:59,03/18/2020,03/18/2020,Thundery outbreaks possible,24,14,7,0.4,48,27,1014,2009,9,19
433,11/26/2020 5:51:16,03/18/2020,03/18/2020,Sunny,33,16,9,0,30,6,1019,2010,1,24.5
434,11/26/2020 5:51:31,03/18/2020,03/18/2020,Patchy rain possible,29,13,10,6.9,60,20,1007,2011,10,21
435,11/26/2020 5:51:45,03/18/2020,03/18/2020,Sunny,29,15,10,0,33,11,1014,2012,1,22
436,11/26/2020 5:51:52,03/18/2020,03/18/2020,Sunny,29,15,10,0,33,11,1014,2012,1,22
437,11/26/2020 5:52:11,03/18/2020,03/18/2020,Sunny,25,13,10,0.1,37,20,1013,2013,1,19
438,11/26/2020 5:52:57,03/19/2020,03/19/2020,Sunny,28,14,7,0.1,43,20,1011,2009,1,21
439,11/26/2020 5:53:13,03/19/2020,03/19/2020,Sunny,34,16,8,0,29,1,1014,2010,1,25
440,11/26/2020 5:53:29,03/19/2020,03/19/2020,Moderate or heavy rain shower,21,12,8,16.4,80,21,1001,2011,12,16.5
441,11/26/2020 5:54:09,03/19/2020,03/19/2020,Sunny,28,14,9,0,35,9,1010,2013,1,21
442,11/26/2020 5:56:21,03/20/2020,03/20/2020,Patchy rain possible,21,12,8,3.7,61,28,1011,2009,10,16.5
443,11/26/2020 5:56:38,03/20/2020,03/20/2020,Sunny,35,17,8,0,30,12,1012,2010,1,26
444,11/26/2020 5:56:53,03/20/2020,03/20/2020,Sunny,25,10,8,0.4,54,2,1007,2011,1,17.5
445,11/26/2020 5:57:15,03/20/2020,03/20/2020,Sunny,25,10,8,0.4,54,2,1007,2011,1,17.5
446,11/26/2020 5:57:33,03/20/2020,03/20/2020,partly cloudy,25,16,9,0.8,42,42,1014,2013,7,20.5
447,11/26/2020 5:58:19,03/21/2020,03/21/2020,Sunny,25,10,8,0,47,8,1014,2009,1,17.5
448,11/26/2020 5:58:35,03/21/2020,03/21/2020,Sunny,34,20,10,0,29,21,1010,2010,1,27
449,11/26/2020 5:58:51,03/21/2020,03/21/2020,Sunny,26,10,10,0,45,1,1011,2011,1,18
450,11/26/2020 5:59:05,03/21/2020,03/21/2020,Sunny,22,8,9,0,40,0,1015,2012,1,15
451,11/26/2020 5:59:12,03/21/2020,03/21/2020,Sunny,22,8,9,0,40,0,1015,2012,1,15
452,11/26/2020 5:59:31,03/21/2020,03/21/2020,Sunny,27,14,12,0.1,43,14,1013,2013,1,20.5
453,11/26/2020 6:00:16,03/22/2020,03/22/2020,Sunny,27,12,9,0,31,5,1014,2009,1,19.5
454,11/26/2020 6:00:33,03/22/2020,03/22/2020,Sunny,34,19,10,0,32,11,1005,2010,1,26.5
455,11/26/2020 6:00:48,03/22/2020,03/22/2020,Sunny,28,11,9,0,40,10,1012,2011,1,19.5
456,11/26/2020 6:01:02,03/22/2020,03/22/2020,Sunny,25,11,10,0,30,3,1015,2012,1,18
457,11/26/2020 6:01:09,03/22/2020,03/22/2020,Sunny,25,11,10,0,30,3,1015,2012,1,18
458,11/26/2020 6:01:28,03/22/2020,03/22/2020,Sunny,28,14,9,0,33,26,1008,2013,1,21
459,11/26/2020 6:02:13,03/23/2020,03/23/2020,Sunny,28,13,10,0,32,25,1015,2009,1,20.5
460,11/26/2020 6:02:30,03/23/2020,03/23/2020,Sunny,34,20,9,0,29,4,1004,2010,1,27
461,11/26/2020 6:02:46,03/23/2020,03/23/2020,Sunny,30,12,10,0,38,7,1013,2011,1,21
